TrafficLevel,IndustrialActivity,Temperature,Humidity,AQI,RespiratoryCases
medium,medium,mild,high,poor,medium
high,medium,cold,low,poor,medium
low,medium,mild,medium,poor,high
low,medium,hot,low,poor,medium
high,medium,mild,medium,poor,high
medium,medium,cold,low,poor,medium
medium,medium,mild,low,poor,medium
low,low,hot,low,poor,medium
low,medium,mild,high,poor,high
medium,medium,mild,high,poor,high
low,low,hot,low,poor,medium
high,low,hot,low,poor,high
low,medium,mild,low,poor,high
medium,low,mild,high,moderate,high
high,low,cold,high,poor,low
low,medium,hot,low,moderate,high
medium,medium,hot,medium,poor,high
low,medium,mild,high,moderate,high
high,medium,hot,medium,poor,high
medium,medium,cold,low,poor,high
medium,medium,mild,medium,moderate,high
high,medium,cold,low,poor,high
medium,medium,hot,medium,poor,high
low,medium,hot,medium,poor,high
low,medium,mild,low,moderate,medium
low,low,mild,low,poor,high
medium,medium,mild,low,poor,high
high,medium,cold,medium,good,low
low,medium,hot,medium,poor,high
medium,high,hot,medium,poor,high
low,medium,mild,high,poor,high
low,high,cold,medium,good,low
high,low,mild,low,poor,high
low,low,mild,low,poor,low
low,medium,cold,high,good,low
high,medium,mild,low,poor,high
medium,high,mild,low,poor,high
low,medium,mild,medium,poor,high
high,medium,mild,medium,poor,high
low,medium,mild,high,moderate,high
medium,medium,mild,high,poor,medium
medium,medium,cold,medium,poor,high
medium,medium,mild,low,poor,high
medium,low,cold,low,poor,high
low,high,mild,medium,poor,medium
high,low,mild,high,poor,high
medium,medium,hot,low,poor,high
medium,medium,mild,high,poor,high
low,medium,hot,medium,poor,high
high,high,cold,high,poor,medium
high,medium,hot,low,moderate,medium
low,medium,mild,medium,good,low
medium,low,mild,high,poor,high
low,medium,hot,medium,poor,high
medium,low,hot,medium,poor,high
medium,medium,hot,medium,poor,medium
low,medium,mild,high,poor,high
medium,medium,mild,low,moderate,medium
high,medium,cold,high,good,low
medium,low,hot,low,poor,medium
low,low,cold,low,poor,high
medium,medium,hot,high,poor,high
medium,medium,mild,medium,poor,high
high,high,mild,medium,poor,medium
medium,medium,cold,high,poor,high
low,low,hot,medium,poor,high
medium,medium,hot,high,poor,high
medium,medium,mild,high,poor,low
medium,low,cold,high,good,low
medium,medium,mild,low,poor,medium
medium,medium,hot,medium,moderate,medium
medium,medium,mild,medium,poor,high
low,medium,mild,high,poor,medium
low,medium,cold,low,moderate,medium
high,high,mild,medium,poor,medium
medium,medium,cold,medium,moderate,medium
low,medium,cold,high,moderate,medium
medium,medium,cold,medium,moderate,low
medium,medium,mild,medium,poor,high
medium,medium,mild,low,poor,high
medium,high,hot,low,moderate,low
low,low,mild,high,poor,medium
medium,medium,hot,high,poor,high
medium,low,mild,low,poor,high
low,low,cold,low,good,low
low,medium,hot,low,moderate,medium
high,medium,mild,medium,poor,high
medium,high,hot,medium,poor,high
high,low,hot,low,poor,high
low,medium,cold,low,moderate,medium
medium,high,hot,low,poor,medium
low,low,hot,high,good,low
low,medium,mild,low,poor,high
high,medium,mild,medium,poor,medium
medium,high,cold,low,poor,high
medium,high,mild,low,poor,high
low,low,cold,medium,poor,high
high,low,hot,high,poor,high
low,high,hot,medium,poor,medium
medium,medium,hot,medium,poor,low
high,high,hot,low,poor,low
medium,medium,hot,low,poor,high
high,high,hot,medium,poor,high
medium,medium,cold,low,poor,medium
low,medium,mild,low,poor,medium
low,medium,mild,low,moderate,high
medium,low,cold,high,poor,high
medium,medium,hot,medium,poor,low
high,medium,cold,high,poor,high
high,high,cold,high,poor,medium
low,high,mild,high,good,low
medium,medium,mild,medium,moderate,low
medium,low,hot,medium,moderate,medium
low,low,cold,high,poor,high
medium,medium,mild,medium,poor,medium
low,medium,hot,high,poor,high
medium,high,hot,high,poor,medium
medium,medium,hot,low,poor,high
low,medium,mild,medium,moderate,high
medium,high,mild,low,poor,low
medium,low,mild,medium,moderate,low
medium,high,cold,low,poor,low
high,low,hot,low,poor,high
